Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
49,Ульяновская,7246,827,Напитки,Подходит для использования в качестве основы для смузи и коктейлей.,2002-08-01,2015-03-05,3.86,Refunded
50,Ветчина,5069,236,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2019-05-03,2029-03-04,2.98,Sold
51,Тверская,2530,553,Напитки,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2018-02-07,2024-06-02,4.49,New
52,Пакеты для Дня знаний,3342,774,Товары для дома,Отличается удобством использования и экономичностью в расходе.,2007-07-14,2013-03-12,0.99,Available for Pickup
53,Черешня,552,109,Фрукты,Способствует нормализации обмена веществ в организме.,2021-02-02,2023-05-02,2.24,Temporarily Unavailable
54,Пепперони,6006,434,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1999-03-15,2015-04-09,4.43,Cancelled
55,Ессентуки,5989,384,Напитки,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2022-02-22,2029-02-08,2.9,Sold
56,Окорок,2608,504,Мясо,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2017-02-03,2024-01-06,2.4,Returned
57,Черешня,7886,707,Фрукты,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2010-03-03,2015-01-04,2.27,Pending
58,Морс клюквенный,3750,809,Напитки,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1992-02-14,2001-10-22,1.83,In Stock
59,Карамбола,7363,50,Фрукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1998-07-02,2030-03-10,2.5,Temporarily Unavailable
60,Ямс,3430,458,Овощи,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1995-02-08,2004-02-15,3.12,Cancelled
61,Пельмени,7287,963,Мясо,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1991-03-02,2024-04-10,3.19,Awaiting Payment
62,Голландский сыр,8647,287,Молочные продукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1998-01-23,2001-07-07,0.38,In Stock
63,Златоустовская,6326,207,Напитки,Помогает поддерживать оптимальный вес и форму тела.,2010-01-24,2027-01-03,4.65,Awaiting Review
64,Тыква,5507,484,Овощи,Служит основой для создания множества кулинарных шедевров.,1998-02-19,2004-02-01,3.2,Backorder
65,Сливки,1731,241,Молочные продукты,Помогает поддерживать нормальный уровень сахара в крови.,2013-04-11,2018-05-10,3.1,In Stock
66,Тан,5141,219,Молочные продукты,Помогает поддерживать нормальный уровень гормонов в организме.,1991-04-15,2021-11-01,0.83,Refunded
67,Пакеты для косметики,7809,884,Товары для дома,Способствует снижению уровня стресса и улучшению настроения.,2017-06-01,2021-01-20,2.38,Out of Stock
68,Цукини,2775,213,Овощи,Представляет собой ценный источник питательных веществ для растущего организма.,1990-04-14,2024-01-07,2.56,Refunded
69,Подсолнечник семена,833,848,Бакалея,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1998-01-11,2021-01-07,2.16,Delivered
70,Паприка сладкая молотая,5305,300,Бакалея,Прошел проверку на соответствие экологическим нормам и стандартам.,2004-02-10,2005-02-02,1.73,Awaiting Review
71,Миринда,4458,563,Напитки,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2012-03-06,2022-01-11,0.59,On Backorder
72,Картофель,2767,36,Овощи,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2015-01-14,2017-09-04,2.79,Available for Pickup
73,Портулак,1605,969,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2017-02-09,2020-05-25,0.76,In Stock
74,Мешки для мусора,7972,495,Товары для дома,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2020-01-05,2022-05-20,0.09,On Backorder
75,Молоко,6795,619,Молочные продукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2013-08-03,2024-01-11,2.31,In Stock
76,Цветная капуста,1063,444,Овощи,Отличается натуральным составом и отсутствием искусственных добавок.,2014-04-02,2030-01-05,4.22,Cancelled
77,Блины с мясом,3473,147,Мясо,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2017-09-03,2022-01-04,3.89,Temporarily Unavailable
78,Киноа,2374,536,Бакалея,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2006-09-03,2024-06-20,0.22,In Stock
79,Портулак,2688,495,Овощи,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2001-01-03,2015-05-01,4.73,Refunded
80,Сливки,3243,103,Молочные продукты,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2004-09-17,2006-07-02,3.44,In Stock
81,Пакеты для тренинга,2927,586,Товары для дома,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2017-03-22,2022-02-01,2.26,Returned
82,Адыгейский сыр,6716,243,Молочные продукты,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,1999-09-13,2026-09-01,0.28,Temporarily Unavailable
83,Ложки чайные,1065,182,Товары для дома,Помогает поддерживать нормальный уровень энергии и выносливости.,2022-01-22,2026-06-15,4.08,Sold
84,Чай черный,5264,805,Бакалея,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2008-05-06,2010-04-06,2.83,On Backorder
85,Апельсин,7592,760,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2007-04-12,2020-05-02,0.39,Returned
86,Каша из дробленного риса,1148,151,Бакалея,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2000-04-28,2026-07-02,0.51,Awaiting Review
87,Перец болгарский,5760,168,Овощи,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2017-02-06,2019-06-06,3.28,Temporarily Unavailable
88,Гамбургеры,9294,190,Мясо,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2022-01-08,2023-02-02,2.7,Out of Stock
89,Щавель,4762,15,Овощи,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2010-06-20,2019-05-01,2.15,Awaiting Review
90,Моцарелла,5166,435,Молочные продукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",1990-05-21,2026-05-01,4.39,Sold
91,Портулак,1446,132,Овощи,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2003-04-05,2020-01-14,1.03,Awaiting Payment
92,Сметана,3960,718,Бакалея,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2015-01-04,2028-02-12,2.37,On Backorder
93,Пакеты для семинара,3423,271,Товары для дома,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",1996-06-15,2016-04-03,1.68,Available for Pickup
94,Каша из дробленой кукурузы,9037,302,Бакалея,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2005-03-01,2024-01-02,3.45,Temporarily Unavailable
95,Perrier,8945,381,Напитки,Помогает поддерживать нормальный уровень триглицеридов в крови.,2013-06-19,2019-05-22,0.37,Delivered
96,Патиссон,1363,274,Овощи,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2014-02-11,2024-02-04,4.74,Returned
97,Пакеты для кемпинга,2081,258,Товары для дома,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2011-03-02,2015-05-01,0.19,Temporarily Unavailable
98,Чай черный,7923,85,Бакалея,Подходит для людей с чувствительным пищеварением.,1992-11-11,2026-03-05,0.98,New
99,Йогурт,2583,498,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1995-04-08,2028-01-11,3.53,Shipping
100,Печень,5725,658,Мясо,Помогает поддерживать нормальный уровень pH в организме.,2003-08-02,2019-01-03,4.66,Awaiting Payment
101,Выборгская,8778,861,Напитки,Помогает улучшать качество сна и снижать уровень тревожности.,1993-09-12,2001-08-20,0.55,Returned
102,Горох,430,748,Овощи,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2005-03-10,2030-02-03,3.89,Cancelled
103,Пакеты для заморозки,2498,970,Товары для дома,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2002-01-05,2013-01-10,2.59,Out of Stock
104,Зира молотая,1767,691,Бакалея,Отличается хорошим сочетанием с различными специями и приправами.,1991-03-05,2015-06-05,4.64,Delivered
105,Редис,3425,205,Овощи,Помогает поддерживать нормальный уровень электролитов в организме.,1991-11-02,1996-02-08,0.15,Available for Pickup
106,Пакеты для Дня независимости,6241,883,Товары для дома,Помогает поддерживать нормальный уровень артериального давления.,2021-01-15,2021-03-03,0.45,Delivered
107,Ямс,4762,684,Овощи,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",1998-03-02,2020-02-10,2.54,Out of Stock
108,Эмменталь,1098,153,Молочные продукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2003-02-10,2012-01-07,3.16,Refunded
109,Мандарин,3319,180,Фрукты,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2006-06-03,2018-08-04,2.24,Available for Pickup
110,Карамбола,2626,932,Фрукты,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2017-01-06,2020-03-01,3.19,Cancelled
111,Имбирь молотый,7251,449,Бакалея,Отличается натуральным составом и отсутствием искусственных добавок.,1999-06-09,2001-05-03,2.35,On Backorder
112,Пирожки с мясом,1593,330,Мясо,Помогает поддерживать нормальный обмен веществ и метаболизм.,1994-05-19,2005-04-27,4.54,Awaiting Payment
113,Пылесос,7376,778,Товары для дома,Подходит для использования в качестве основы для смузи и коктейлей.,2003-09-03,2025-02-04,0.51,Pending
114,Ромштекс,3089,112,Мясо,"Является источником витаминов группы B, необходимых для энергетического обмена.",2003-05-08,2030-03-19,2.85,Shipping
115,Подставки под столовые приборы,9004,211,Товары для дома,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2002-04-04,2009-02-05,0.18,Out of Stock
116,Спаржа,1245,4,Овощи,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1996-02-02,2011-09-19,0.46,Shipping
117,Простокваша,4038,417,Молочные продукты,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2021-11-02,2023-01-15,0.28,New
118,Пакеты для инструментов,354,496,Товары для дома,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2009-10-10,2026-08-07,4.21,Cancelled
119,Ананас,5436,500,Фрукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2010-01-20,2021-07-17,4.81,Backorder
120,Эндивий,8696,324,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1992-01-09,1994-01-02,2.65,Pending
121,Репа,5806,201,Овощи,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2001-02-19,2021-08-08,2.72,Cancelled
122,Каша из проса,4736,604,Бакалея,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1996-01-14,2002-06-01,1.23,Out of Stock
123,Гусиные потроха,8553,82,Мясо,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2016-04-03,2025-01-03,1.53,Sold
124,Смузи бананово-клубничный,8149,354,Напитки,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2018-03-08,2019-06-01,0.34,Available for Pickup
125,Доски разделочные,1439,809,Товары для дома,Отличается высокой питательностью и способен быстро утолить голод.,1993-02-15,2004-03-04,4.55,Returned
126,Симферопольская,6603,161,Напитки,Помогает поддерживать нормальный уровень энергии и выносливости.,1998-08-07,2029-01-06,1.54,Shipping
127,Укроп сушеный,2795,862,Бакалея,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2022-03-02,2028-08-09,3.95,Cancelled
128,Тыква,1986,471,Овощи,"Подходит для приготовления как горячих, так и холодных блюд.",2007-05-06,2025-02-10,0.52,On Backorder
129,Груша,8707,156,Фрукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2004-01-19,2005-02-24,1.21,Backorder
130,Пакеты для концерта,1874,474,Товары для дома,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2019-09-04,2024-01-03,4.01,Available for Pickup
131,Перец болгарский,173,512,Овощи,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1998-01-24,2026-09-06,2.01,Sold
132,Лук-порей,2190,850,Овощи,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2009-02-01,2021-08-08,2.91,Out of Stock
133,Сельдерей,1618,287,Овощи,Используется в косметологии для ухода за кожей и волосами.,1997-05-01,2001-01-05,4.21,Returned
134,Кефир,2566,536,Молочные продукты,"Является источником антиоксидантов, замедляющих процессы старения.",2005-03-08,2009-08-05,4.97,Pending
135,Гранат,3684,240,Фрукты,"Является источником важных микроэлементов, таких как магний и калий.",2017-01-09,2026-02-07,0.28,New
136,Сок морковный,348,548,Напитки,Отличается способностью повышать общий тонус и работоспособность.,2004-04-03,2014-08-02,0.87,Available for Pickup
137,Пензенская,4211,460,Напитки,Является неотъемлемой частью рациона многих народов мира.,2013-02-01,2025-06-03,0.27,On Backorder
138,Иркутская,6848,861,Напитки,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2015-03-04,2028-06-10,4.62,Out of Stock
139,Кефир,8815,32,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2014-09-15,2023-05-01,2.71,Backorder
140,Творог,2415,446,Молочные продукты,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2004-01-13,2014-01-07,4.95,Backorder
141,Вымя,2565,719,Мясо,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2016-01-22,2029-02-02,0.31,Temporarily Unavailable
142,Фейхоа,1671,392,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1990-02-01,2012-01-10,2.81,Awaiting Review
143,Конфи,7664,888,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2003-03-09,2016-02-13,3.35,Delivered
144,Сибирская,222,693,Напитки,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,1996-06-13,2005-04-12,3.1,Awaiting Review
145,Рубец,6665,728,Мясо,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",1996-01-08,2024-01-09,2.18,Refunded
146,Фенхель,2563,825,Овощи,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2011-01-18,2018-03-09,4.94,Refunded
147,Молоко,8184,282,Молочные продукты,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2010-03-02,2012-03-05,1.4,Pending
148,Солонина,1726,837,Мясо,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2008-01-05,2014-05-12,0.87,Backorder
149,Моцарелла,566,706,Молочные продукты,Прошел проверку на соответствие экологическим нормам и стандартам.,2021-08-04,2022-01-01,3.9,Awaiting Payment
150,Подушки,1421,88,Товары для дома,Помогает предотвратить дефицит витаминов и минералов в организме.,1997-01-02,2027-03-02,0.67,Delivered
151,Хабаровская,4250,55,Напитки,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2008-02-03,2030-04-02,0.75,In Stock
152,Кружки,9298,624,Товары для дома,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1990-07-03,2015-06-03,1.87,New
153,Брынза,3311,438,Молочные продукты,Подходит для использования в рецептах традиционной кухни разных стран.,2016-03-01,2022-02-20,3.87,Refunded
154,Груша,2307,347,Фрукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2002-02-26,2006-03-03,0.01,In Stock
155,Корица молотая,130,672,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",2017-03-16,2028-01-02,1.94,Delivered
156,Шелковица,2023,642,Фрукты,Подходит для использования в диетических программах для похудения.,2004-06-01,2012-01-11,2.71,Backorder
157,Шампунь,1034,508,Товары для дома,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2013-06-10,2025-05-17,2.86,Backorder
158,"Семечки (тыквенные, подсолнечника)",3784,291,Бакалея,Помогает поддерживать нормальный уровень гормонов в организме.,2015-03-25,2016-01-04,2.33,Delivered
159,Молочный шоколад,8314,385,Бакалея,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",1998-07-14,2013-02-23,1.94,Available for Pickup
160,Редис,2300,222,Овощи,Отличается натуральным составом и отсутствием искусственных добавок.,2014-01-02,2018-01-02,1.29,Pending
161,Карамбола,6952,471,Фрукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2012-08-05,2017-02-04,2.12,Delivered
162,Пастернак,8616,551,Овощи,Помогает улучшить когнитивные функции и память.,2008-04-01,2011-06-10,0.25,Temporarily Unavailable
163,Оленина,6185,453,Мясо,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2017-01-16,2026-01-01,3.28,Cancelled
164,Брынза,9487,381,Молочные продукты,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2020-04-02,2029-01-18,0.97,Pending
165,Молоко,4211,693,Молочные продукты,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1996-04-03,2016-01-04,2.33,Backorder
166,Камамбер,3276,958,Молочные продукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",1995-01-15,2006-03-11,0.36,Pending
167,Adrenaline Rush,403,532,Напитки,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2014-09-19,2015-02-13,0.97,Sold
168,Баклажан,4642,637,Овощи,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,1992-04-01,1996-06-05,3.43,New
169,Каша из поленты,3335,477,Бакалея,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2021-05-01,2025-01-07,0.29,Returned
170,Мыло твердое,4275,276,Товары для дома,Способствует нормализации обмена веществ в организме.,1999-01-11,2027-01-02,2.17,Temporarily Unavailable
171,Шпик,3267,550,Мясо,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2022-03-01,2028-02-18,2.63,Awaiting Payment
172,Томаты в собственном соку,4762,304,Бакалея,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2009-01-10,2011-02-09,0.94,Refunded
173,Йогурт питьевой,1005,84,Напитки,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2009-06-15,2018-02-13,1.24,On Backorder
174,Фольга алюминиевая,7473,47,Товары для дома,Отличается легкостью в переваривании и усвоении организмом.,2021-01-03,2021-01-03,4.03,Temporarily Unavailable
175,Брокколи,4964,690,Овощи,Помогает поддерживать нормальный уровень гормонов в организме.,2019-08-01,2019-09-12,4.64,In Stock
176,Язык,124,318,Мясо,Помогает поддерживать здоровый цвет лица и упругость кожи.,2016-02-02,2021-05-14,1.86,Temporarily Unavailable
177,Магаданская,3099,551,Напитки,"Отличается длительным сроком годности, что позволяет делать запасы.",1990-03-02,2024-02-19,2.32,New
178,Авокадо,5127,508,Фрукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2006-02-03,2008-05-07,1.37,Temporarily Unavailable
179,Термосы,3214,73,Товары для дома,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",1991-02-09,1993-01-09,1.82,Out of Stock
180,Ливерная колбаса,9243,250,Мясо,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2000-01-15,2004-01-01,0.24,New
